ticker,company_name,exchange,aliases
A,Agilent Technologies Inc. Common Stock,NYSE,agilent technologies common
AA,Alcoa Corporation Common Stock,NYSE,alcoa common stock
AACB,Artius II Acquisition Inc. Class A Ordinary Shares,NASDAQ,artius acquisition class
AACBR,Artius II Acquisition Inc. Rights,NASDAQ,artius acquisition
AACBU,Artius II Acquisition Inc. Units,NASDAQ,artius acquisition
AACG,ATA Creativity Global American Depositary Shares,NASDAQ,ata creativity global
AACI,Armada Acquisition Corp. II Class A Ordinary Shares,NASDAQ,armada acquisition class
AACIW,Armada Acquisition Corp. II Warrant,NASDAQ,armada acquisition
AAL,American Airlines Group Inc. Common Stock,NASDAQ,american airlines common
AAM,AA Mission Acquisition Corp. Class A Ordinary Shares,NYSE,mission acquisition class
AAME,Atlantic American Corporation Common Stock,NASDAQ,atlantic american common
AAMI,Acadian Asset Management Inc. Common Stock,NYSE,acadian asset management
AAOI,Applied Optoelectronics Inc. Common Stock,NASDAQ,applied optoelectronics common
AAON,AAON Inc. Common Stock,NASDAQ,aaon common stock
AAP,Advance Auto Parts Inc.,NYSE,advance auto parts
AAPG,Ascentage Pharma Group International American Depository Shares,NASDAQ,ascentage pharma international
AAPL,Apple Inc. Common Stock,NASDAQ,apple common stock
AARD,Aardvark Therapeutics Inc. Common Stock,NASDAQ,aardvark therapeutics common
AAT,American Assets Trust Inc. Common Stock,NYSE,american assets trust
AAUC,Allied Gold Corporation Common Shares,NYSE,allied gold common
AB,AllianceBernstein Holding L.P.  Units,NYSE,alliancebernstein
ABAT,American Battery Technology Company Common Stock,NASDAQ,american battery technology
ABBV,AbbVie Inc. Common Stock,NYSE,abbvie common stock
ABCB,Ameris Bancorp Common Stock,NYSE,ameris bancorp common
ABCL,AbCellera Biologics Inc. Common Shares,NASDAQ,abcellera biologics common
ABEO,Abeona Therapeutics Inc. Common Stock,NASDAQ,abeona therapeutics common
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),NYSE,ambev american depositary
ABG,Asbury Automotive Group Inc Common Stock,NYSE,asbury automotive common
ABL,Abacus Global Management Inc. Class A Common Stock,NASDAQ,abacus global management
ABLLL,Abacus Global Management Inc. 9.875% Fixed Rate Senior Notes due 2028,NASDAQ,abacus global management
ABLV,Able View Global Inc. Class B Ordinary Shares,NASDAQ,able view global
ABLVW,Able View Global Inc. Warrant,NASDAQ,able view global
ABM,ABM Industries Incorporated Common Stock,NYSE,abm industries common
ABNB,Airbnb Inc. Class A Common Stock,NASDAQ,airbnb class common
ABOS,Acumen Pharmaceuticals Inc. Common Stock,NASDAQ,acumen pharmaceuticals common
ABP,Abpro Holdings Inc Common Stock,NASDAQ,abpro common stock
ABPWW,Abpro Holdings Inc. Warrant,NASDAQ,abpro
ABR,Arbor Realty Trust Common Stock,NYSE,arbor realty trust
ABSI,Absci Corporation Common Stock,NASDAQ,absci common stock
ABT,Abbott Laboratories Common Stock,NYSE,abbott laboratories common
ABTC,American Bitcoin Corp. Class A Common Stock,NASDAQ,american bitcoin class
ABTS,Abits Group Inc Ordinary Shares,NASDAQ,abits ordinary shares
ABUS,Arbutus Biopharma Corporation Common Stock,NASDAQ,arbutus biopharma common
ABVC,ABVC BioPharma Inc. Common Stock,NASDAQ,abvc biopharma common
ABVE,Above Food Ingredients Inc. Common Stock,NASDAQ,above food ingredients
ABVEW,Above Food Ingredients Inc. Warrants,NASDAQ,above food ingredients
ABVX,Abivax SA American Depositary Shares,NASDAQ,abivax american depositary
ACA,Arcosa Inc. Common Stock,NYSE,arcosa common stock
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,NASDAQ,acadia pharmaceuticals common
ACB,Aurora Cannabis Inc. Common Shares,NASDAQ,aurora cannabis common
ACCO,Acco Brands Corporation Common Stock,NYSE,acco brands common
ACDC,ProFrac Holding Corp. Class A Common Stock,NASDAQ,profrac class common
ACEL,Accel Entertainment Inc.,NYSE,accel entertainment
ACET,Adicet Bio Inc. Common Stock,NASDAQ,adicet bio common
ACFN,Acorn Energy Inc. Common Stock,NASDAQ,acorn energy common
ACGL,Arch Capital Group Ltd. Common Stock,NASDAQ,arch capital common
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,NASDAQ,arch capital depositary
